Station ID,Station Name,Songs Sample Dates,Non Song Sample Dates,Commercial Sample Dates,Commercial Forecast %
IRSEND,RADIO ESSEX SOUTH 105.1,365,365,4,3%
IRREDD,CAPITAL SOUTH WALES,365,365,365,12%
IRBEAT,105-106 CAPITAL FM (CENTRAL SCOTLAND),365,365,365,11%
IRHENW,HEART NORTH WALES,365,365,365,12%
IRSMOR,REAL RADIO XS (106.1 FM/MANCHESTER),365,365,4,9%
IRVRTY,HEART (106-108 FM/SOUTH & WEST YORKSHIRE),365,365,365,0%
IRSAGN,SMOOTH EAST MIDLANDS (106.6 FM),365,365,365,0%
IRSMOO,SMOOTH NORTH EAST (97.5 & 107.7 FM),365,365,365,0%
IRJFM,SMOOTH RADIO (100.4 FM/NORTH WEST),365,365,365,9%
IRCONN,CONNECT FM (107.4 & 97.2 FM/NORTHANTS),365,365,4,4%
IROASI,HEART 96.6FM (96.6 FM/WATFORD),365,365,365,7%
IRBRIT,"BRIGHT FM (106.4/BURGESS HILL, HAYWARDS HEATH & LEWES)",365,365,4,10%
IRISLE,ISLE OF WIGHT RADIO,365,365,4,10%
IRSOVE,SOVEREIGN FM (107.5/EASTBOURNE & HAILSHAM),365,365,4,10%
IRSPLA,"SPLASH FM (107.7/WORTHING, LITTLEHAMPTON & SHOREHAM)",365,365,4,9%
IRORAB,ORIGINAL ABERDEEN FM 106,365,365,4,10%
IRUJCK,UNION JACK RADIO,365,365,4,3%
IRTUCH,107.6 BANBURY SOUND,365,365,4,6%
IRRUGB,RUGBY FM (107.1),365,365,4,0%
IRBEAR,TOUCH FM STRATFORD,365,365,4,10%
IRHARM,TOUCH FM (96.2 FM/COVENTRY),365,365,4,7%
IR3FM,3FM,365,365,4,5%
INVIRG,ABSOLUTE RADIO (1215 AM/UK),365,365,365,1%
IRAB60,ABSOLUTE RADIO 60S,365,365,4,7%
IRAB70,ABSOLUTE RADIO 70'S,365,365,4,10%
IRAB90,ABSOLUTE 90'S,365,365,8,8%
