Station ID,Station Name,Songs Forecast,Non Song Forecast,Commercial Forecast,Late Data Forecast,Total Forecast
IRSEND,RADIO ESSEX SOUTH 105.1,"1,102",77,38,,"1,217"
IRREDD,CAPITAL SOUTH WALES,961,27,129,,"1,117"
IRBEAT,105-106 CAPITAL FM (CENTRAL SCOTLAND),961,23,117,,"1,102"
IRHENW,HEART NORTH WALES,"1,038",12,141,,"1,191"
IRSMOR,REAL RADIO XS (106.1 FM/MANCHESTER),894,115,96,,"1,105"
IRVRTY,HEART (106-108 FM/SOUTH & WEST YORKSHIRE),"1,038",12,12,,"1,062"
IRSAGN,SMOOTH EAST MIDLANDS (106.6 FM),"1,134",41,5,,"1,180"
IRSMOO,SMOOTH NORTH EAST (97.5 & 107.7 FM),"1,134",41,10,,"1,185"
IRJFM,SMOOTH RADIO (100.4 FM/NORTH WEST),"1,134",41,114,,"1,288"
IRCONN,CONNECT FM (107.4 & 97.2 FM/NORTHANTS),"1,108",34,49,,"1,190"
IROASI,HEART 96.6FM (96.6 FM/WATFORD),"1,038",104,91,,"1,233"
IRBRIT,"BRIGHT FM (106.4/BURGESS HILL, HAYWARDS HEATH & LEWES)","1,081",142,141,,"1,365"
IRISLE,ISLE OF WIGHT RADIO,"1,067",120,135,,"1,321"
IRSOVE,SOVEREIGN FM (107.5/EASTBOURNE & HAILSHAM),"1,081",143,134,,"1,359"
IRSPLA,"SPLASH FM (107.7/WORTHING, LITTLEHAMPTON & SHOREHAM)","1,081",144,125,,"1,350"
IRORAB,ORIGINAL ABERDEEN FM 106,"1,070",113,133,,"1,315"
IRUJCK,UNION JACK RADIO,"1,243",28,39,,"1,310"
IRTUCH,107.6 BANBURY SOUND,"1,098",56,71,,"1,225"
IRRUGB,RUGBY FM (107.1),"1,098",63,2,,"1,163"
IRBEAR,TOUCH FM STRATFORD,"1,013",63,121,,"1,197"
IRHARM,TOUCH FM (96.2 FM/COVENTRY),"1,113",63,86,,"1,262"
IR3FM,3FM,"1,105",43,63,,"1,211"
INVIRG,ABSOLUTE RADIO (1215 AM/UK),"1,055",102,10,,"1,168"
IRAB60,ABSOLUTE RADIO 60S,"1,163",109,93,,"1,365"
IRAB70,ABSOLUTE RADIO 70'S,"1,163",119,138,,"1,419"
IRAB90,ABSOLUTE 90'S,"1,143",119,104,,"1,366"
IRAIRE,96.3 RADIO AIRE,914,243,133,,"1,290"
IRBCON,FREE RADIO WOLVERHAMPTON,945,237,121,,"1,303"
IRBCSH,FREE RADIO (103.1 FM/SHROPSHIRE),945,205,141,,"1,291"
IRBRDR,RADIO BORDERS,899,253,110,,"1,263"
IRBRMB,FREE RADIO (96.4 FM/BIRMINGHAM),946,205,118,,"1,269"
IRCFM,CFM,941,252,231,,"1,424"
IRCITA,CITY TALK 105.9,828,224,147,,"1,198"
IRCITT,MAGIC 1548 (LIVERPOOL),973,203,129,,"1,305"
IRCITY,RADIO CITY 96.7,898,243,13,,"1,154"
IRCLY1,CLYDE 1,818,244,10,,"1,073"
IRCOOL,COOL FM,916,156,65,,"1,138"
IRDOTO,DOWNTOWN COUNTRY RADIO,971,135,59,,"1,166"
IRDOWN,DOWNTOWN RADIO,986,144,5,,"1,136"
IRFRTH,FORTH ONE,886,248,11,,"1,145"
IRGALX,"KISS (101, 97.2 FM/SOUTH WALES & THE WEST)",893,45,98,,"1,035"
IRGNRM,METRO RADIO 2,"1,029",203,83,,"1,316"
IRGNRT,MAGIC 1170 (TEESIDE),"1,023",219,100,,"1,342"
IRHEAT,HEAT RADIO (DIGITAL/UK),"1,208",46,85,,"1,338"
IRHITD,THE HITS RADIO (DIGITAL/UK),"1,204",239,130,,"1,573"
IRHLLM,HALLAM FM,950,242,9,,"1,200"
IRHLMG,HALLAM 2,"1,029",203,93,,"1,326"
IRKERD,KERRANG! RADIO (DIGITAL/UK),"1,016",78,109,,"1,203"
IRKEY,KEY 103,936,165,127,,"1,229"
IRKISD,KISS (DIGITAL/UK),893,45,9,,946
IRKISS,KISS (100 FM/LONDON),893,45,8,,945
IRKRNG,PLANET ROCK (105.2 FM/WEST MIDLANDS),"1,050",100,77,,"1,226"
IRMAGC,RADIO AIRE 2,"1,028",204,126,,"1,358"
IRMAGD,MAGIC (DIGITAL/UK),"1,137",48,86,,"1,271"
IRMAX,FORTH 2,"1,008",230,127,,"1,364"
IRMELY,MAGIC 105.4 (GREATER LONDON),"1,137",44,91,,"1,272"
IRMERC,FREE RADIO (97.0 & 102.9 FM/COVENTRY & WARWICKSHIRE),938,237,152,,"1,327"
IRMGCH,MAGIC CHILLED,"1,067",147,90,,"1,304"
IRMGME,MELLOW MAGIC,"1,250",44,126,,"1,420"
IRMORY,"MFR (97.4-102.8 FM/HIGHLANDS, MORAY & ABERDEENSHIRE)",892,248,297,,"1,436"
IRMRYA,"MFR (1107 AM/HIGHLANDS, MORAY & ABERDEENSHIRE)","1,036",226,279,,"1,541"
IRMTRO,METRO RADIO,809,267,12,,"1,089"
IRNOR2,NORTHSOUND 2,"1,096",230,109,,"1,436"
IRNSND,NORTHSOUND 1,"1,137",331,5,,"1,473"
IRPICC,KEY 2,"1,029",203,130,,"1,362"
IRPLDG,PLANET ROCK (DIGITAL/UK),"1,029",57,77,,"1,163"
IRQDIG,KISSTORY (DIGITAL/UK),"1,024",27,86,,"1,136"
IRR106,GEM 106,"1,074",234,9,,"1,318"
IRROSE,ROCK FM 97.4,958,249,146,,"1,353"
IRSMHD,KISS FRESH (DIGITAL/UK),"1,322",27,79,,"1,428"
IRSOLN,WAVE 105,"1,032",175,7,,"1,213"
IRTAY,TAY FM (102.8 & 96.4/DUNDEE & PERTH),890,231,118,,"1,239"
IRTAYM,TAY AM (1161 & 1584/DUNDEE & PERTH),"1,011",222,110,,"1,343"
IRTEES,TFM RADIO,809,266,96,,"1,171"
IRVCLA,ABSOLUTE CLASSIC ROCK,"1,152",105,92,,"1,348"
IRVIBE,"KISS (105.6, 106.1, 106.4, 107.7 FM/EAST OF ENGLAND)",893,45,195,,"1,133"
IRVIRG,ABSOLUTE RADIO (105.8 FM/GREATER LONDON),"1,046",79,9,,"1,134"
IRVKNG,96.9 VIKING FM,984,242,161,,"1,387"
