Station code,Station Name,Minutes MISSING DATA,Minutes CARRY FORWARDS,Minutes TOTAL,Revenue MISSING DATA,Revenue CARRY FORWARDS,Revenue TOTAL
IRCONN,CONNECT FM (107.4 & 97.2 FM/NORTHANTS), -   , 94 , 94 , £-   , £5.79 , £5.79 
IROASI,HEART 96.6FM (96.6 FM/WATFORD), -   , 64 , 64 , £-   , £2.45 , £2.45 
IRSEND,RADIO ESSEX SOUTH 105.1, -   , 131 , 131 , £-   , £4.87 , £4.87 
IRBEAH,THE BEACH, -   , 65 , 65 , £-   , £19.73 , £19.73 
IRMELL,DREAM 100, -   , 62 , 62 , £-   , £11.81 , £11.81 
IRNONR,NORTH NORFOLK RADIO, -   , 58 , 58 , £-   , £0.85 , £0.85 
IRNRCH,RADIO NORWICH 99.9, -   , 65 , 65 , £-   , £27.33 , £27.33 
IRTWN2,TOWN 102, -   , 63 , 63 , £-   , £19.88 , £19.88 
IRJACK,106 JACK FM (OXFORDSHIRE)," 2,313 ", 4 ," 2,317 ", £185.06 , £25.90 , £210.95 
IROXGN,JACKFM 2, -   , 10 , 10 , £-   , £18.34 , £18.34 
IRBCON,FREE RADIO WOLVERHAMPTON, -   , 138 , 138 , £-   , £56.19 , £56.19 
IRBCSH,FREE RADIO (103.1 FM/SHROPSHIRE), -   , 133 , 133 , £-   , £13.20 , £13.20 
IRBRMB,FREE RADIO (96.4 FM/BIRMINGHAM), -   , 131 , 131 , £-   , £119.87 , £119.87 
IRMERC,FREE RADIO (97.0 & 102.9 FM/COVENTRY & WARWICKSHIRE), -   , 124 , 124 , £-   , £29.05 , £29.05 
IRR106,GEM 106, -   , 122 , 122 , £-   , £84.40 , £84.40 
IRWYVN,"FREE RADIO 96.7, 97.6 & 102.8FM/HEREFORDSHIRE&WORCESTERSHIRE", -   , 124 , 124 , £-   , £17.34 , £17.34 
IRXTRB,FREE RADIO 80S (1152 AM/BIRMINGHAM), -   , 2 , 2 , £-   , £1.70 , £1.70 
INVIRG,ABSOLUTE RADIO (1215 AM/UK), -   , 155 , 155 , £-   , £272.44 , £272.44 
IRAB60,ABSOLUTE RADIO 60S, -   ," 1,613 "," 1,613 ", £-   , £33.66 , £33.66 
IRAB70,ABSOLUTE RADIO 70'S, -   , -   , -   , £-   , £-   , £-   
IRAB90,ABSOLUTE 90'S, -   , 7 , 7 , £-   , £37.99 , £37.99 
IRAIRE,96.3 RADIO AIRE, -   , 210 , 210 , £-   , £39.70 , £39.70 
IRCITA,CITY TALK 105.9, -   , 18 , 18 , £-   , £11.43 , £11.43 
IRCITY,RADIO CITY 96.7, -   , 198 , 198 , £-   , £195.65 , £195.65 
IRHEAT,HEAT RADIO (DIGITAL/UK), -   ," 1,451 "," 1,451 ", £-   , £256.74 , £256.74 
IRHITD,THE HITS RADIO (DIGITAL/UK), -   , 558 , 558 , £-   , £51.28 , £51.28 
IRHLLM,HALLAM FM, -   , 225 , 225 , £-   , £124.08 , £124.08 
IRKERD,KERRANG! RADIO (DIGITAL/UK), -   , 149 , 149 , £-   , £20.56 , £20.56 
IRKEY,KEY 103, -   , 274 , 274 , £-   , £186.51 , £186.51 
